m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
356,India,,1372,"Cashew nuts, in shell",2006,0.22,0.22,,Wholesale,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.24,0.24,,Processing,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.16,0.16,,Harvesting,Harvest,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.37,0.37,,Threshing,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.14,0.14,,Collection,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.21,0.21,,Drying,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.36,0.36,,Retailing,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1372,"Cashew nuts, in shell",2006,0.01,0.01,,Transportation,Transport,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.52,0.52,,Wholesale,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.16,0.16,,Packaging,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.37,0.37,,Drying,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2.19,2.19,,Harvesting,Harvest,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.2,0.2,,Transportation,Transport,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.68,0.68,,Collection,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,3.1,3.1,,Threshing,Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,1.89,1.89,,Storage,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.4,0.4,,Retailing,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,0.21,0.21,,"Cleaning, Winnowing",Farm,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.76,0.76,,Retailing,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,1.32,1.32,,Farm,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.22,0.22,,Transportation,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.13,0.13,,Packaging,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.67,0.67,,"Grading, Sorting",Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.12,0.12,,Drying,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,1.14,1.14,,"Cleaning, Winnowing",Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,3.66,3.66,,Harvesting,Harvest,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.77,0.77,,Collection,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2006,0.95,0.95,,Wholesale,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.14,0.14,,Retailing,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,3.52,3.52,,Drying,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.22,0.22,,Transportation,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.31,0.31,,"Grading, Sorting",Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,1.16,1.16,,Processing,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.09,0.09,,Packaging,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.86,0.86,,Collection,Farm,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,2.78,2.78,,Harvesting,Harvest,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
356,India,,1802,Sugar cane,2006,0.83,0.83,,Farm,Storage,,,,,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
36,Australia,,1802,Sugar cane,2019,10,10%,,Farm,Farm,,,,Modelled Estimates,"Richard Collins (2019), national food waste baseline",, Reference has been generated automatically
364,Iran (Islamic Republic of),,1371,"Almonds, in shell",2001,1,1%,,Harvesting,Harvest,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1371,"Almonds, in shell",2001,1,1%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1371,"Almonds, in shell",2001,1,1%,,Retailing,Retail,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1371,"Almonds, in shell",2001,3,3%,,"Sorting, Storage",Storage,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1371,"Almonds, in shell",2001,1,1%,,Transportation,Transport,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1375,"Pistachios, in shell",2001,1,1%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1375,"Pistachios, in shell",2001,4.5,3 - 6%,,"Sorting, Storage",Storage,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1375,"Pistachios, in shell",2001,1,1%,,Retailing,Retail,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1375,"Pistachios, in shell",2001,1,1%,,Transportation,Transport,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1375,"Pistachios, in shell",2001,1,1%,,Harvesting,Harvest,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1376,"Walnuts, in shell",2001,2,2%,,Harvesting,Harvest,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1376,"Walnuts, in shell",2001,10.5,4 - 17%,,"Sorting, Storage",Storage,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1376,"Walnuts, in shell",2001,1,1%,,Retailing,Retail,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
364,Iran (Islamic Republic of),,1376,"Walnuts, in shell",2001,1,1%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,
